symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category
SAM,MEUBLES INTERIEURS,2025-01-21,5.86,30382,-0.0330033003300328,2.3909577374759143,-3.362337021012808,False,True,False,EXPLAINED,Meuble intérieurs annonce un chiffre d’affaires record en 2024,2025-01-21,0.0,earnings_results
SAM,MEUBLES INTERIEURS,2025-02-26,6.23,19331,0.0523648648648649,1.6895109051339294,5.21860169807167,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2025-02-27,6.57,45541,0.0545746388443018,2.545972618622066,4.856153058383308,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2025-07-03,6.5,1820,0.0500807754442649,0.0243894730123407,3.8782948247299576,False,True,False,EXPLAINED,Meuble Intérieurs : Une année 2024 de consolidation et d’ambition pour l’international,2025-06-30,-3.0,other_news
SAM,MEUBLES INTERIEURS,2025-08-29,6.44,1966,-0.0459259259259258,0.5107171047342854,-4.562394566850763,False,True,False,EXPLAINED,Meuble Intérieurs approuve l'augmentation de son capital,2025-09-03,5.0,other_news
SAM,MEUBLES INTERIEURS,2025-09-17,6.02,13210,-0.059375,2.074317162525709,-5.332782349559065,False,True,False,EXPLAINED,"Meuble Intérieurs affiche un bénéfice semestriel de 1,3 million de dinars",2025-09-17,0.0,earnings_results
SAM,MEUBLES INTERIEURS,2025-10-23,5.5,4843,-0.0484429065743945,1.308408353092274,-3.781342242542448,False,True,False,EXPLAINED,Meubles Intérieurs : Une dynamique de reprise attendue au quatrième trimestre 2025,2025-10-22,-1.0,other_news
SAM,MEUBLES INTERIEURS,2025-11-24,5.2,662,-0.0714285714285712,-0.239259223233684,-4.734280924552699,False,True,False,EXPLAINED,Meuble Intérieurs annonce l'augmentation de son capital par incorporation de réserves,2025-11-17,-7.0,other_news
SAM,MEUBLES INTERIEURS,2026-02-20,4.9,20796,0.053763440860215,0.951404073716791,3.211365532533966,False,True,False,UNEXPLAINED,,,,
SAM,MEUBLES INTERIEURS,2026-05-19,5.1,34041,0.0559006211180124,1.6520694043202206,3.639062484794717,False,True,False,EXPLAINED,Des bénéfices résilients en 2025 pour Meuble Intérieurs malgré un léger repli du chiffre d’affaires,2026-05-25,6.0,earnings_results
SAM,MEUBLES INTERIEURS,2026-06-01,5.86,19961,0.0539568345323742,1.1183834909587131,3.5977573255255,False,True,False,EXPLAINED,Des bénéfices résilients en 2025 pour Meuble Intérieurs malgré un léger repli du chiffre d’affaires,2026-05-25,-7.0,earnings_results
SAM,MEUBLES INTERIEURS,2026-06-09,5.51,819,-0.0483592400690846,-1.153457496417594,-3.2261256760947394,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2022-04-12,1.7,119,0.0897435897435896,-0.8134996274121133,3.703348714975782,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2022-04-22,1.56,109,-0.0823529411764705,-0.8770831924104168,-3.499775326433668,False,True,False,EXPLAINED,Les Ciments de Bizerte : Chute de 30% du chiffre d'affaires au premier trimestre,2022-04-28,6.0,earnings_results
SCB,CIMENTS DE BIZERTE,2022-05-11,1.58,30,-0.0813953488372092,-1.4474483910479805,-3.13276853844351,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2022-05-16,1.66,1,0.0993377483443707,-2.832570834258384,3.139953066444938,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2022-05-19,1.5,1000,-0.0963855421686746,0.4418266249419232,-3.0209143600731467,False,True,False,UNEXPLAINED,,,,
